Height,Input,Output,Sum,Time
546,"['1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5', '1DCbY2GYVaAMCBpuBNN5GVg3a47pNK1wdi']","['1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv', '1', '1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5', '24']",['25'],2009-01-15 06:08:20
546,"['1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv', '1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5']","['1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv', '25']",['25'],2009-01-15 06:08:20
546,['1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv'],"['1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5', '1', '1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv', '24']",['25'],2009-01-15 06:08:20
586,"['1DNdPgBZRWjDj1JbVZQEYMv7jvqJF7R4Py', '1ELmSkQWnqgbBZNzxAZHts3MEYCngqRBeD', '1ADpf5rHERc2PmVAZZFoH7WbougKvkPDVD', '1ACWHyRM8rtbt96KauPJprnF2qDQSdPJ54', '1LfjLrBDYyPbvGMiD9jURxyAupdYujsBdK']","['19QKDUJtx9n7Vaga6nX1bVHdsnT4Khfyi6', '250']",['250'],2009-01-15 14:25:20
586,['1E5npMTmh9PnBHxCacuqzAZRGEybkxPMAq'],"['1QKJnFPvRoZ7avBhxqwxhsEv62JWYoB1R9', '50']",['50'],2009-01-15 14:25:20
2812,['1BEAp84rY4U2MJNmUkaF9BNavTEEG3ZSfd'],"['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '50']",['50'],2009-02-03 04:47:39
2812,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '50']",['50'],2009-02-03 04:47:39
2812,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1Fmjwt8172FZT5XdKnzTUcEEzc1T2MCg2a', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '49.99']",['50'],2009-02-03 04:47:39
2812,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1CbAopr7sNMKjsJa8dAS6P5sM788kmMooo', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '49.98']",['49.99'],2009-02-03 04:47:39
2812,['1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm'],"['1Hr2Pj6p984sZ8eC9333vZTkfZhASTEMPN', '0.01', '1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm', '49.97']",['49.98'],2009-02-03 04:47:39
