csv_file,num_trans,total_trans_amt,num_blocks,start_date,end_date,min_block,max_block,days_in_data
0to68732.csv,14832,4515577.97,2061,2009-01-15,2010-07-17,546,68732,548
190001to209999.csv,4183124,599889722.6813966,19669,2012-07-19,2014-03-12,190001,209999,601
210000to224000.csv,4372400,150432024.44447002,13870,2012-09-06,2014-03-13,210000,224000,553
224001to234000.csv,3268747,103853002.06833945,9928,2012-08-24,2013-05-01,224001,234000,250
234001to247000.csv,3755688,54622669.980434395,12911,1972-09-04,2083-06-22,234001,247000,40468
247001to260000.csv,3605888,57126288.782725625,12937,2013-07-15,2014-03-16,247001,260000,244
260001to270000.csv,2769702,49551028.20886688,9939,2013-09-23,2070-04-24,260001,270000,20667
270001to280000.csv,3661038,73644581.14742811,9929,2013-11-14,2014-03-16,270001,280000,122
280001to290000.csv,2445240,28374763.400938876,6055,2014-02-03,2014-03-16,283895,290000,41
290001to300000.csv,3849092,40474384.2317029,9908,2013-03-18,2014-05-10,290001,300000,418
300001to310000.csv,3772104,40824126.24402364,9920,2014-03-09,2014-07-09,300001,310000,122
310001to320000.csv,4148265,37212827.45964933,9905,2014-07-08,2014-09-10,310001,320000,64
320001to329999.csv,5008278,50076145.205135785,9896,2014-09-06,2014-11-14,320001,329999,69
330000to337000.csv,4093395,45908073.79757481,6918,2014-11-12,2015-01-01,330000,337000,50
337001to343000.csv,3779803,47960720.41229483,5910,2014-12-28,2015-02-11,337001,343000,45
343001to349000.csv,4014954,38887019.056577325,5918,2015-01-30,2015-03-24,343001,349000,53
349001to354000.csv,3603230,32037200.488331202,4920,2015-03-22,2015-04-27,349001,354000,36
354001to360000.csv,4390406,45101154.84385377,5842,2015-04-22,2015-06-08,354001,360000,47
360001to364000.csv,3280420,35575891.45289252,3866,2015-06-04,2015-07-05,360001,364000,31
364001to367000.csv,2950576,24369042.203640547,2851,2015-07-04,2015-07-26,364001,367000,22
