block_date,daily_trans,daily_btc
1972-09-04,258,2900.1175869500003
1972-09-05,1,0.008
1972-10-08,1,128.3495
1982-12-12,2,106.6085
1986-11-01,1,119.349
1989-09-13,2,0.07912199
1989-10-17,8,284.64166566
1989-11-01,1,0.4790698
1994-06-19,3,146.13235433
1996-08-24,1,1.11770891
2003-02-13,2,906.06811159
2003-03-29,1,1.09102659
2004-01-25,1,0.1823
2005-06-11,1,0.5988417
2005-08-31,2,1.89234764
2005-12-24,1,1.01770881
2006-04-09,1,1.0179488
2007-11-13,1,9.9025
2007-12-18,1,101.016
2008-06-20,1,26
2008-10-01,1,27.504
2009-01-15,5,375
2009-02-03,13,584.51
2009-02-07,3,398
2009-02-22,4,1050
2009-03-03,2,400
2009-03-08,2,350
2009-03-18,2,700
2009-03-22,2,550
2009-03-28,3,1000
2009-04-05,2,850
2009-04-18,2,82.50999999999999
2009-04-26,2,750
2009-05-03,2,60
2009-05-13,2,49.01
2009-05-14,2,99.99000000000001
2009-07-11,2,48.19795706
2009-08-26,3,2348.06
2009-10-06,2,900
2009-11-11,8,89000
2009-12-09,6,2139
2010-01-12,2,10799.619999999999
2010-01-21,5,233.29
2010-01-23,2,51
2010-01-25,2,100
2010-01-26,4,748
2010-01-30,2,300
2010-02-01,2,201
2010-02-03,2,300
2010-02-05,2,199
2010-02-06,12,1200
2010-02-08,2,1400
2010-02-10,3,30000
2010-02-12,2,4000
2010-02-13,2,499
2010-02-14,3,150
2010-02-15,2,199.98
2010-02-17,6,28525.59
2010-02-22,4,4300
2010-02-26,2,749
2010-02-28,2,5249
2010-03-01,2,300
2010-03-05,1,0.24156
2010-03-06,3,150
2010-03-07,2,5950
2010-03-10,3,449.99
2010-03-15,2,50
2010-03-18,4,160
2010-03-20,6,3400
2010-03-21,2,100
2010-03-22,2,1050
2010-03-23,2,100
2010-03-24,5,600
2010-03-25,6,22250
2010-03-26,9,1850
2010-03-27,2,850
2010-03-28,2,200
2010-03-29,5,1150
2010-03-30,4,350
2010-03-31,2,100
2010-04-01,5,600
2010-04-04,4,1600
2010-04-05,11,1779.13
2010-04-06,3,124.98349999999999
2010-04-07,2,100
2010-04-08,4,400
2010-04-09,21,22933.96
2010-04-10,17,1310.36
2010-04-11,30,7746.25
2010-04-12,21,3830
2010-04-13,10,1160
2010-04-14,24,1826.6
2010-04-15,52,99752.93000000001
2010-04-16,16,3502
2010-04-17,14,551.75
2010-04-18,3080,33132.46
2010-04-19,25,20731.78
2010-04-20,19,10895
2010-04-21,21,2628.81
2010-04-22,16,13298.37
2010-04-23,39,2392.04
2010-04-24,22,10181.060000000001
2010-04-25,27,9950.8
2010-04-26,23,1264.84
2010-04-27,30,1910.02
2010-04-28,24,4306.88
2010-04-29,18,3375.36
2010-04-30,9,29268.31
2010-05-01,10,2194.6
2010-05-02,14,849
2010-05-03,17,1951
2010-05-04,31,12029.11
2010-05-05,14,12082.71
2010-05-06,11,9900
2010-05-07,15,32044
2010-05-08,16,16000.26
2010-05-09,31,8726.4
2010-05-10,14,3470.78
2010-05-11,11,1150.03
2010-05-12,19,4948
2010-05-13,29,9598.22
2010-05-14,13,1493.66
2010-05-15,13,1624
2010-05-16,6,1100
2010-05-17,26,7012.4800000000005
2010-05-18,35,7512.9
2010-05-19,29,3591.99
2010-05-20,22,1382.97
2010-05-21,42,36409.96
2010-05-22,9,12362.69
2010-05-23,81,7788.36
2010-05-24,38,4666
2010-05-25,15,3050
2010-05-26,31,8508.97
2010-05-27,49,4887.51
2010-05-28,30,3940.76
2010-05-29,37,43073.76
2010-05-30,38,2200
2010-05-31,16,3250
2010-06-01,21,3276.7
2010-06-02,23,1707.28
2010-06-03,61,4517.14
2010-06-04,22,30677.35
2010-06-05,29,2500
2010-06-06,22,6800
2010-06-07,30,22199.8
2010-06-08,28,3101
2010-06-09,24,31377.079999999998
2010-06-10,30,28915.63
2010-06-11,55,7605.2699999999995
2010-06-12,51,10780.1
2010-06-13,36,10213
2010-06-14,60,36081.02
2010-06-15,41,16030
2010-06-16,26,24698.99
2010-06-17,34,16207.51
2010-06-18,25,4164.68
2010-06-19,39,36343.82
2010-06-20,13,3625
2010-06-21,61,30538.09
2010-06-22,35,18483.64
2010-06-23,36,18400
2010-06-24,44,25369.37
2010-06-25,29,13428
2010-06-26,17,51733
2010-06-27,29,4994
2010-06-28,42,30435.05
2010-06-29,55,10953.95
2010-06-30,57,25170.57
2010-07-01,41,18130.89
2010-07-02,41,53075.18
2010-07-03,37,12020
2010-07-04,32,6289.5
2010-07-05,42,27567.01
2010-07-06,10,6750
2010-07-07,31,33310.31
2010-07-08,46,10742.94
2010-07-09,34,4868
2010-07-10,20,14437.74
2010-07-11,146,33971.99
2010-07-12,1504,2321747.4
2010-07-13,601,234603.06
2010-07-14,5426,282463.48
2010-07-15,539,70644
2010-07-16,546,51062.98
2010-07-17,198,22072.37
2010-07-18,215,34094.65
2010-07-19,319,45018.71
2010-07-20,374,27445.19
2010-07-21,203,23760.59
2010-07-22,167,17025.98
2010-07-23,172,14262.32
2010-07-24,653,11661.86
2010-07-25,1543,38823.590000000004
2010-07-26,166,80047.2
2010-07-27,213,26780.53
2010-07-28,1760,62380.42
2010-07-29,1655,14145.6
2010-07-30,105,15661.73
2010-07-31,48,9891.73
2010-08-01,81,260474.51
2010-08-02,106,8932.41
2010-08-03,373,31444.42
2010-08-04,145,27321.559999999998
2010-08-05,254,27757.35
2010-08-06,176,16031.359999999999
2010-08-07,70,18016.7
2010-08-08,157,8429.97
2010-08-09,187,72274.04
2010-08-10,106,24765.95
2010-08-11,132,43528.21
2010-08-12,127,11881.92
2010-08-13,263,29579.48
2010-08-14,97,9319.68
2010-08-15,56,10340.77
2010-08-16,280,64855.76
2010-08-17,168,46648.39
2010-08-18,206,27321.420000000002
2010-08-19,161,13001.36
2010-08-20,187,26327.12
2010-08-21,121,29529.59
2010-08-22,114,15458.58
2010-08-23,109,8043.05
2010-08-24,114,17504.83
2010-08-25,105,12206.88
2010-08-26,107,10702.57
2010-08-27,83,12542.53
2010-08-28,128,12271.2699906
2010-08-29,69,6611.81
2010-08-30,145,8785.9800005
2010-08-31,223,36044.0499976
2010-09-01,192,27035.8399987
2010-09-02,127,26497.1
2010-09-03,121,18189.52
2010-09-04,56,18938.51
2010-09-05,115,31909.87
2010-09-06,78,69658.2499983
2010-09-07,83,15299.44
2010-09-08,132,13986.4499982
2010-09-09,155,30589.9800001
2010-09-10,135,11428.43
2010-09-11,104,8539.43
2010-09-12,157,11286.9900002
2010-09-13,227,112865.84
2010-09-14,178,22383.73480176
2010-09-15,233,33240.98
2010-09-16,170,26176.23
2010-09-17,119,73628.82
2010-09-18,103,24410.61
2010-09-19,102,37121.02960352
2010-09-20,207,31901.5
2010-09-21,619,26898.29
2010-09-22,465,39232.46
2010-09-23,364,71584.64
2010-09-24,216,13438.85
2010-09-25,284,21539.99
2010-09-26,153,9584.23
2010-09-27,320,11892.58
2010-09-28,233,74193.18726893999
2010-09-29,785,88821.58
2010-09-30,182,32072.420000000002
2010-10-01,395,56585.01812108
2010-10-02,387,315694.12
2010-10-03,221,65336.26
2010-10-04,219,511710.01
2010-10-05,225,185763.4000002
2010-10-06,198,94801.25
2010-10-07,144,100204.27
2010-10-08,181,147301.58
2010-10-09,207,107786.39
2010-10-10,139,88418.52
2010-10-11,140,44521.95
2010-10-12,171,46784.6
2010-10-13,140,97078.48
2010-10-14,113,142044.8
2010-10-15,112,78372.64
2010-10-16,120,146484.58
2010-10-17,129,86849.16
2010-10-18,280,182240.24
2010-10-19,631,239343.58
2010-10-20,377,167080.35
2010-10-21,324,119810.95
2010-10-22,422,120723.66
2010-10-23,302,32646.16
2010-10-24,309,92880.58
2010-10-25,154,95508.97
2010-10-26,214,135165.51
2010-10-27,314,162458.23
2010-10-28,221,168034.23
2010-10-29,200,66854.78
2010-10-30,122,43637.99
2010-10-31,89,51820.27
2010-11-01,132,21392.53
2010-11-02,68,42047.84
2010-11-03,117,41862.93
2010-11-04,98,134640.79
2010-11-05,172,28559.64
2010-11-06,131,96124.48
2010-11-07,154,74943.52
2010-11-08,173,419417.08
2010-11-09,150,41414.69
2010-11-10,150,47995.66
2010-11-11,114,24405.55
2010-11-12,75,22820.79
2010-11-13,72,30346.56
2010-11-14,107,26303.91
2010-11-15,4632,259851.07
2010-11-16,8876,370573.59
2010-11-17,144,51325.94
2010-11-18,1186,45519.1
2010-11-19,9479,54348.64000000001
2010-11-20,9597,155515.11000000002
2010-11-21,9892,115582.07999999999
2010-11-22,147,25099.26
2010-11-23,172,41220.23
2010-11-24,3732,32857.59
2010-11-25,4800,50592.19
2010-11-26,1097,87732.31
2010-11-27,227,19366.15
2010-11-28,235,19226.74
2010-11-29,196,29024.55
2010-11-30,197,50305.45
2010-12-01,278,40184.47
2010-12-02,222,55652.38
2010-12-03,148,25096.71
2010-12-04,140,54930.12106783
2010-12-05,133,9162.94
2010-12-06,171,51291.94094584
2010-12-07,272,58673.76219765
2010-12-08,224,27940.49528566
2010-12-09,205,30619.41
2010-12-10,197,25540.46
2010-12-11,332,71849.98977788
2010-12-12,429,44584.43787191
2010-12-13,481,155100.41824802
2010-12-14,448,107012.11260157
2010-12-15,405,104211.21742856
2010-12-16,317,72044.94
2010-12-17,267,56874.27675504
2010-12-18,308,71593.43765187
2010-12-19,323,75555.95
2010-12-20,754,79317.42001065
2010-12-21,398,95087.75750328
2010-12-22,479,78723.11208696
2010-12-23,340,56047.24
2010-12-24,351,48129.29974265
2010-12-25,436,99620.54000000001
2010-12-26,419,66779.66339267
2010-12-27,335,87469.8183169
2010-12-28,457,53637.33056498
2010-12-29,312,101134.33683591
2010-12-30,390,58140.44
2010-12-31,360,55897.66
2011-01-01,445,47985.39
2011-01-02,359,44018.20498822
2011-01-03,947,65358.59633815
2011-01-04,824,38962.9791607
2011-01-05,1133,36811.85767679
2011-01-06,527,31322.96918433
2011-01-07,832,53752.37336902
2011-01-08,1245,52882.75234567
2011-01-09,1033,36675.14469134
2011-01-10,1134,80028.10971559
2011-01-11,1160,92663.44614891
2011-01-12,961,48731.39141248
2011-01-13,1056,118628.44867027
2011-01-14,1064,84582.18159374
2011-01-15,785,53594.409999999996
2011-01-16,726,63308.38011814
2011-01-17,608,55755.42663104
2011-01-18,657,99154.22323904
2011-01-19,718,59306.29763183
2011-01-20,714,51243.64946975
2011-01-21,970,60030.30447858
2011-01-22,1249,69627.56708752
2011-01-23,890,79547.52638641
2011-01-24,1116,68268.77787557
2011-01-25,710,52991.32400623
2011-01-26,796,64903.45
2011-01-27,657,1020955.74905919
2011-01-28,905,44631.64
2011-01-29,1174,67539.24
2011-01-30,2430,390317.67759254
2011-01-31,1201,186359.26982325
2011-02-01,820,116592.72079477
2011-02-02,704,109981.81104348
2011-02-03,609,61379.73982325
2011-02-04,726,45832.32108788
2011-02-05,605,61901.12868051
2011-02-06,701,62160.34039876
2011-02-07,651,90955.23903225
2011-02-08,648,64726.09722994
2011-02-09,1011,125689.2693116
2011-02-10,1835,216279.19942762
2011-02-11,2162,251436.81054812
2011-02-12,1701,130971.16428978
2011-02-13,1603,101268.71817975
2011-02-14,1800,129693.09137725
2011-02-15,1982,91627.40049414
2011-02-16,1821,59432.40818958
2011-02-17,2006,92786.67165151
2011-02-18,1831,118184.34368959
2011-02-19,1414,175997.84
2011-02-20,1726,212900.68
2011-02-21,1765,227903.45
2011-02-22,1971,345876.01
2011-02-23,2005,357716.72
2011-02-24,1897,218795.45
2011-02-25,1824,175059.00818048
2011-02-26,1648,163270.75000999
2011-02-27,2005,188867.16855151
2011-02-28,1570,124882.99
2011-03-01,2599,1033303.0202
2011-03-02,1840,2435908.72668385
2011-03-03,3017,228696.44168828
2011-03-04,1752,302408.23576451
2011-03-05,1741,126997.0437216
2011-03-06,1722,143942.04380033
2011-03-07,1698,206652.29964754
2011-03-08,2238,185686.65944798
2011-03-09,1658,244404.34503696
2011-03-10,1548,338570.07804093
2011-03-11,1753,246446.22809133
2011-03-12,2813,156437.29971233
2011-03-13,2589,204941.68115768
2011-03-14,2530,207648.33789148
2011-03-15,2739,121488.87643037
2011-03-16,3042,152539.09181285
2011-03-17,3221,160502.90737881
2011-03-18,2249,170708.95283443
2011-03-19,3073,119086.22
2011-03-20,3930,138839.58252934
2011-03-21,5701,151371.34928640001
2011-03-22,2111,204354.34911854
2011-03-23,4410,254468.4
2011-03-24,2003,251679.13767498
2011-03-25,1822,285086.8778667
2011-03-26,3188,319088.61920936
2011-03-27,2310,144795.68202142
2011-03-28,2754,135313.24246612
2011-03-29,2541,109055.46112949
2011-03-30,1590,122059.59452227
2011-03-31,1882,136988.52288476
2011-04-01,1392,77717.91827105
2011-04-02,1586,94379.20432044
2011-04-03,1621,80546.39902044
2011-04-04,2125,143426.61701071
2011-04-05,1909,116236.60318476
2011-04-06,1708,85539.41799748
2011-04-07,1520,110054.86496611
2011-04-08,1590,126939.33595446
2011-04-09,1569,140269.0001
2011-04-10,1563,83478.635
2011-04-11,1774,86093.85545405
2011-04-12,1908,137566.19102861
2011-04-13,2166,177043.77327498
2011-04-14,2717,145387.68708196
2011-04-15,1877,100689.34928382
2011-04-16,1966,341560.25033964
2011-04-17,2066,1294505.35927388
2011-04-18,2881,127001.59991272
2011-04-19,3434,2646861.40297451
2011-04-20,2813,4785220.74204533
2011-04-21,1758,431197.48799102
2011-04-22,1908,157077.85424113
2011-04-23,2132,165528.81501805
2011-04-24,2100,100759.87017361
2011-04-25,2387,97203.95776716
2011-04-26,3248,176003.8390149
2011-04-27,4390,246493.61657616
2011-04-28,2864,148312.81378026
2011-04-29,3320,776262.83897853
2011-04-30,4281,403709.00673113
2011-05-01,3760,161990.50321471
2011-05-02,2894,119510.31266387
2011-05-03,2726,187392.75138419
2011-05-04,2602,279831.8470313
2011-05-05,3243,158704.33759837
2011-05-06,3070,280821.18563308
2011-05-07,3668,221981.79302396
2011-05-08,2673,529768.28273068
2011-05-09,3270,152553.30846047
2011-05-10,2964,567632.13850171
2011-05-11,2893,176215.39348982
2011-05-12,3188,207886.66438123
2011-05-13,3844,452664.92141258
2011-05-14,4161,1787212.02764781
2011-05-15,3545,311624.53782434
2011-05-16,4100,278134.45083743
2011-05-17,4204,209816.39598351
2011-05-18,5289,180913.95139751
2011-05-19,4490,181551.63441551
2011-05-20,4568,345317.86570839
2011-05-21,4738,653776.77056607
2011-05-22,5016,878162.97366646
2011-05-23,5440,457736.61905455
2011-05-24,5555,354099.08495583
2011-05-25,5935,381080.62331447
2011-05-26,6650,412437.74540105
2011-05-27,4674,535999.68976574
2011-05-28,4851,224765.70805678001
2011-05-29,4565,265566.42702273
2011-05-30,5179,269094.08435130003
2011-05-31,5906,279851.16754073
2011-06-01,6347,271484.2237639
2011-06-02,6940,353742.43582135
2011-06-03,8233,611937.81088465
2011-06-04,8580,475769.50735780003
2011-06-05,8383,553552.029338
2011-06-06,9459,826839.67148268
2011-06-07,8826,525728.60109993
2011-06-08,11618,787274.00122975
2011-06-09,11938,771068.93254016
2011-06-10,11028,920737.01821738
